,Lat,Lon,Base,Hour,KMEANS5_labels,AGGC_label,Day,KMEANS_label,DBSCAN_label
380,40.7171,-73.9957,2,15,2,0,4,3,0
381,40.7558,-73.9733,2,5,7,2,3,7,0
382,40.7614,-73.9702,1,10,7,2,2,7,0
383,40.7465,-73.9441,1,10,7,2,6,2,0
384,40.7378,-73.98,2,20,7,0,1,1,0
385,40.7167,-73.9635,3,7,0,0,2,5,0
386,40.7503,-73.9719,3,11,7,2,3,7,0
387,40.7623,-73.9998,1,16,7,2,6,4,0
388,40.7259,-73.9997,2,13,2,0,6,3,0
389,40.762,-73.9845,1,11,7,2,5,7,0
390,40.7575,-73.9845,1,9,7,2,0,7,0
391,40.773,-73.9581,1,14,1,2,1,2,0
392,40.7604,-73.9758,1,15,7,2,3,7,0
394,40.7577,-73.9716,3,17,7,2,4,7,0
395,40.6526,-73.9605,3,18,0,0,4,0,0
396,40.7276,-73.9448,2,19,7,0,2,5,0
397,40.7141,-74.0094,1,17,2,0,6,3,0
398,40.7596,-73.9918,1,22,7,2,4,7,0
399,40.7132,-74.0044,1,23,2,0,1,3,0
400,40.6854,-73.9913,1,8,0,0,4,0,0
402,40.7516,-73.9936,2,20,7,2,3,4,0
403,40.7199,-74.0012,3,14,2,0,4,3,0
404,40.6493,-73.944,1,7,0,0,3,0,0
405,40.7807,-73.9559,1,12,1,2,6,2,0
406,40.7827,-73.9734,3,0,1,2,5,6,0
407,40.7417,-73.9974,3,15,2,0,5,4,0
408,40.7514,-73.9764,1,15,7,2,2,7,0
410,40.7619,-73.9839,3,22,7,2,3,7,0
411,40.7605,-73.9896,3,23,7,2,5,7,0
412,40.766,-73.9605,2,15,1,2,3,2,0
413,40.7651,-73.9628,1,12,1,2,1,2,0
414,40.7367,-73.9821,3,8,7,0,0,1,0
415,40.7619,-73.9813,1,19,7,2,1,7,0
416,40.7618,-73.9651,3,23,7,2,4,7,0
417,40.759,-73.9731,2,15,7,2,0,7,0
418,40.7474,-73.9832,0,11,7,2,4,4,0
420,40.7792,-73.915,1,15,1,2,2,2,0
421,40.7174,-73.9953,3,2,2,0,5,3,0
422,40.744,-73.9918,4,17,7,2,1,4,0
423,40.7552,-73.9735,3,7,7,2,4,7,0
424,40.7747,-73.9449,3,6,1,2,2,2,0
425,40.7625,-73.9755,2,19,7,2,3,7,0
426,40.724,-73.9979,2,20,2,0,3,3,0
427,40.7417,-73.9801,1,12,7,2,6,1,0
428,40.7213,-73.9881,1,22,2,0,3,1,0
429,40.7381,-73.9987,2,21,2,0,0,4,0
430,40.7574,-74.0008,2,10,7,2,1,4,0
431,40.7628,-73.9739,1,19,7,2,1,7,0
433,40.7281,-73.9829,3,11,2,0,5,1,0
434,40.7446,-73.9945,3,8,7,2,1,4,0
435,40.7591,-73.9608,3,10,7,2,1,2,0
437,40.7627,-73.9741,1,17,7,2,4,7,0
438,40.7203,-73.9882,1,11,2,0,1,1,0
439,40.7564,-73.9819,2,11,7,2,3,7,0
440,40.7742,-73.9628,2,14,1,2,6,2,0
441,40.7087,-73.9446,3,6,0,0,5,5,0
442,40.7771,-73.989,2,5,7,2,3,7,0
443,40.7556,-73.9754,0,22,7,2,2,7,0
444,40.7511,-73.9905,1,13,7,2,6,4,0
445,40.7708,-73.9551,3,9,1,2,1,2,0
446,40.7083,-74.0115,3,22,2,0,5,3,0
447,40.7534,-73.9963,3,18,7,2,0,4,0
448,40.7397,-74.0023,1,0,2,0,5,4,0
449,40.7605,-73.9579,3,17,1,2,0,2,0
450,40.76,-73.9903,2,8,7,2,1,7,0
451,40.7211,-74.0004,1,22,2,0,5,3,0
452,40.7305,-73.989,1,22,2,0,3,1,0
453,40.6987,-73.9265,2,6,0,0,5,5,0
455,40.7574,-73.9743,3,15,7,2,1,7,0
456,40.7431,-73.9927,1,16,7,2,3,4,0
457,40.7643,-73.9784,4,12,7,2,4,7,0
458,40.6918,-74.0002,1,14,0,0,6,0,0
459,40.751,-73.9827,1,17,7,2,2,7,0
460,40.7318,-73.9834,3,10,2,0,3,1,0
461,40.7456,-73.982,0,19,7,2,1,4,0
462,40.7215,-73.9936,1,17,2,0,4,1,0
464,40.7083,-73.9388,1,13,0,0,2,5,0
465,40.7587,-73.9729,3,21,7,2,0,7,0
466,40.7232,-73.9986,0,16,2,0,0,3,0
467,40.7412,-74.0316,2,21,2,0,5,3,0
468,40.7309,-73.9815,2,6,2,0,1,1,0
469,40.7602,-73.9949,2,15,7,2,6,4,0
470,40.733,-74.0064,2,22,2,0,4,3,0
471,40.7361,-74.0044,1,19,2,0,4,4,0
472,40.7777,-73.9749,1,19,1,2,1,7,0
473,40.7488,-74.007,3,20,2,0,3,4,0
474,40.7279,-73.9491,1,4,7,0,3,5,0
475,40.7474,-73.9566,3,6,7,0,0,2,0
476,40.7592,-73.9724,2,18,7,2,2,7,0
477,40.708,-74.0058,3,16,2,0,2,3,0
478,40.7206,-74.0043,0,7,2,0,2,3,0
479,40.7194,-74.0025,1,9,2,0,5,3,0
482,40.717,-74.0141,1,0,2,0,6,3,0
483,40.689,-73.9363,3,18,0,0,5,5,0
484,40.7429,-73.9891,0,23,7,2,3,4,0
485,40.7211,-73.981,2,8,2,0,5,1,0
486,40.7751,-73.9476,4,9,1,2,4,2,0
488,40.6833,-73.9239,2,12,0,0,1,5,0
490,40.7448,-73.995,2,6,7,2,3,4,0
491,40.7703,-73.9578,2,11,1,2,0,2,0
492,40.7458,-73.9824,0,16,7,2,0,4,0
493,40.7302,-73.9758,0,14,2,0,6,1,0
494,40.7813,-73.9519,3,11,1,2,4,2,0
495,40.6754,-73.9778,3,18,0,0,6,0,0
496,40.7304,-74.0068,1,17,2,0,0,3,0
497,40.7189,-73.9869,3,0,2,0,4,1,0
499,40.7196,-74.0103,3,17,2,0,3,3,0
500,40.7462,-73.9418,2,21,7,2,5,2,0
501,40.7547,-73.9694,1,7,7,2,4,7,0
503,40.7383,-73.9836,1,20,7,2,5,1,0
504,40.7752,-73.9281,2,8,1,2,6,2,0
505,40.7397,-73.9965,3,16,2,2,5,4,0
506,40.7367,-73.9744,2,9,7,0,2,1,0
507,40.7744,-73.9575,2,7,1,2,4,2,0
508,40.7574,-73.9631,1,15,7,2,4,7,0
509,40.7279,-73.991,2,20,2,0,3,1,0
511,40.745,-73.9818,0,8,7,2,4,4,0
512,40.7565,-73.9724,1,7,7,2,3,7,0
513,40.7428,-73.9847,1,10,7,2,3,4,0
514,40.7319,-74.0038,2,14,2,0,4,3,0
515,40.7319,-73.992,1,10,2,0,5,1,0
516,40.7605,-73.9644,3,8,7,2,1,7,0
517,40.6801,-73.9993,2,14,0,0,3,0,0
519,40.7553,-73.9747,1,17,7,2,1,7,0
520,40.663,-73.9841,1,8,0,0,3,0,0
521,40.766,-73.9654,3,10,7,2,0,2,0
522,40.7212,-73.9585,3,9,0,0,3,5,0
523,40.7504,-73.995,2,14,7,2,0,4,0
524,40.7592,-73.9925,4,19,7,2,3,4,0
525,40.7034,-73.9895,1,15,2,0,1,3,0
527,40.7522,-73.9858,2,22,7,2,2,7,0
528,40.7605,-73.9838,2,16,7,2,4,7,0
529,40.7379,-73.9901,3,15,2,2,2,1,0
530,40.7723,-73.9667,1,16,1,2,4,2,0
532,40.7457,-73.9994,3,20,2,0,4,4,0
533,40.7039,-73.9866,1,15,2,0,4,1,0
534,40.7632,-73.9741,3,15,7,2,1,7,0
535,40.7242,-73.9935,1,22,2,0,4,1,0
536,40.7495,-73.9762,2,6,7,2,2,7,0
537,40.7451,-73.9886,1,20,7,2,3,4,0
539,40.758,-73.9818,1,13,7,2,6,7,0
540,40.7591,-73.9784,3,18,7,2,4,7,0
541,40.7237,-74.0036,1,14,2,0,0,3,0
